"idBank";"Dernière mise à jour";"Autres regroupements";"IDBANK pour sdmx";"Puissance";"Nature";"Périodicité";"Unité";"Activité";"Correction";"Indicateur";"Zone géographique";"﻿Base de l'indice"
"010768717";"06/05/2026 08:45";"NACE - 41 - Construction de bâtiments";"BDM_EUR";"0";"Indice";"Mensuelle";"sans objet";"Sans objet";"Non corrigé";"Indice de la production industrielle";"France métropolitaine";"2021"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
