"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Construction de bâtiments (NACE, division 41)";"Codes"
"idBank";"010768717";""
"Dernière mise à jour";"06/05/2026 08:45";""
"Période";"";""
"2026-03";"88.01";"A"
"2026-02";"85.56";"A"
"2026-01";"79.33";"A"
"2025-12";"75.1";"A"
"2025-11";"88.42";"A"
"2025-10";"93.01";"A"
"2025-09";"88.61";"A"
"2025-08";"54.06";"A"
"2025-07";"91.9";"A"
"2025-06";"91.2";"A"
"2025-05";"88.96";"A"
"2025-04";"89.3";"A"
"2025-03";"90.5";"A"
"2025-02";"88.94";"A"
"2025-01";"84.17";"A"
"2024-12";"77.28";"A"
"2024-11";"95.3";"A"
"2024-10";"96.5";"A"
"2024-09";"91.22";"A"
"2024-08";"55.64";"A"
"2024-07";"95.25";"A"
"2024-06";"98.24";"A"
"2024-05";"94.78";"A"
"2024-04";"94.09";"A"
"2024-03";"97.27";"A"
"2024-02";"97.14";"A"
"2024-01";"92.64";"A"
"2023-12";"79.75";"A"
"2023-11";"102.27";"A"
"2023-10";"104.25";"A"
"2023-09";"99.76";"A"
"2023-08";"63.08";"A"
"2023-07";"101.69";"A"
"2023-06";"107.76";"A"
"2023-05";"104.67";"A"
"2023-04";"100.13";"A"
"2023-03";"106.61";"A"
"2023-02";"101.54";"A"
"2023-01";"95.35";"A"
"2022-12";"84.32";"A"
"2022-11";"106.1";"A"
"2022-10";"104.6";"A"
"2022-09";"101.54";"A"
"2022-08";"64.25";"A"
"2022-07";"98.21";"A"
"2022-06";"103.71";"A"
"2022-05";"102.91";"A"
"2022-04";"98.51";"A"
"2022-03";"105.84";"A"
"2022-02";"100.31";"A"
"2022-01";"95.02";"A"
"2021-12";"85.33";"A"
"2021-11";"105.83";"A"
"2021-10";"106.62";"A"
"2021-09";"103.38";"A"
"2021-08";"64.38";"A"
"2021-07";"104.64";"A"
"2021-06";"109.42";"A"
"2021-05";"103.65";"A"
"2021-04";"103.72";"A"
"2021-03";"109.56";"A"
"2021-02";"102.78";"A"
"2021-01";"100.7";"A"
"2020-12";"91.55";"A"
"2020-11";"111.05";"A"
"2020-10";"112.86";"A"
"2020-09";"109.83";"A"
"2020-08";"75.67";"A"
"2020-07";"113.09";"A"
"2020-06";"109.41";"A"
"2020-05";"85.15";"A"
"2020-04";"39.34";"A"
"2020-03";"76.64";"A"
"2020-02";"115.04";"A"
"2020-01";"111.32";"A"
